Lattitude,Longitude,Total Doses,Sessions,Sites ,Total Doses/500000,Sessions/786,Sites/54 ,(f+g+h)/3,Out of 100
17.67152,75.91044,704368,6349,72,1.408736,0.091603053,1.333333333,2.833672387,28.33672387
17.68589,73.99333,2320826,71099,176,4.641652,0.223918575,3.259259259,8.124829834,81.24829834
18.04531,78.26078,489075,42530,17,0.97815,0.021628499,0.314814815,1.314593314,13.14593314
18.10483,78.84858,802939,8560,26,1.605878,0.03307888,0.481481481,2.120438362,21.20438362
18.191,79.943,2994358,37573,74,5.988716,0.094147583,1.37037037,7.453233953,74.53233953
18.2989,83.89751,2760855,317245,95,5.52171,0.12086514,1.759259259,7.401834399,74.01834399
18.39014,81.65941,1275393,52124,124,2.550786,0.157760814,2.296296296,5.004843111,50.04843111
18.43915,79.12856,614891,58000,29,1.229782,0.036895674,0.537037037,1.803714711,18.03714711
18.51957,73.85535,1000493,57975,137,2.000986,0.174300254,2.537037037,4.712323291,47.12323291
18.61357,79.37442,803485,200,2,1.60697,0.002544529,0.037037037,1.646551566,16.46551566
18.67154,78.0988,398082,334000,34,0.796164,0.043256997,0.62962963,1.469050627,14.69050627
18.81199,82.71048,3155313,60204,121,6.310626,0.15394402,2.240740741,8.705310761,87.05310761
18.98921,75.75634,2063761,254704,134,4.127522,0.170483461,2.481481481,6.779486942,67.79486942
19.07283,72.88261,1283721,32539,115,2.567442,0.146310433,2.12962963,4.843382062,48.43382062
19.09685,78.34407,272393,52000,21,0.544786,0.026717557,0.388888889,0.960392446,9.603924461
19.19704,72.96355,2291053,299610,193,4.582106,0.245547074,3.574074074,8.401727148,84.01727148
19.26855,76.77081,1917492,68835,119,3.834984,0.151399491,2.203703704,6.190087195,61.90087195
19.38705,85.05079,350745,14248,23,0.70149,0.029262087,0.425925926,1.156678012,11.56678012
19.59083,81.664,458614,30240,25,0.917228,0.031806616,0.462962963,1.411997579,14.11997579
19.67203,78.5359,487280,7910,14,0.97456,0.017811705,0.259259259,1.251630964,12.51630964
19.69693,72.76543,904452,17407,36,1.808904,0.045801527,0.666666667,2.521372193,25.21372193
19.71464,77.14238,1093581,44636,168,2.187162,0.213740458,3.111111111,5.512013569,55.12013569
19.79825,85.82494,457028,13024,44,0.914056,0.055979644,0.814814815,1.784850459,17.84850459
19.84102,75.88636,2240893,71597,122,4.481786,0.155216285,2.259259259,6.896261544,68.96261544
19.87757,75.34226,380207,2700,6,0.760414,0.007633588,0.111111111,0.879158699,8.791586989
19.87757,75.34226,1517232,58931,116,3.034464,0.147582697,2.148148148,5.330194845,53.30194845
19.99727,73.79096,879367,76639,128,1.758734,0.162849873,2.37037037,4.291954243,42.91954243
20.11128,77.133,909212,45873,104,1.818424,0.132315522,1.925925926,3.876665448,38.76665448
20.12882,85.09626,702252,67160,69,1.404504,0.08778626,1.277777778,2.770068037,27.70068037
20.39324,78.13201,738949,83663,95,1.477898,0.12086514,1.759259259,3.358022399,33.58022399
20.41431,72.83236,505310,35400,53,1.01062,0.067430025,0.981481481,2.059531507,20.59531507
20.46497,85.87927,283655,18244,12,0.56731,0.015267176,0.222222222,0.804799398,8.047993978
20.61013,72.93428,2189079,6891,34,4.378158,0.043256997,0.62962963,5.051044627,50.51044627
20.63323,82.06221,1266944,18829,73,2.533888,0.092875318,1.351851852,3.97861517,39.7861517
20.65744,85.59693,251742,13011,12,0.503484,0.015267176,0.222222222,0.740973398,7.409733978
20.70419,83.49029,802475,43480,54,1.60495,0.06870229,1,2.67365229,26.7365229
20.70718,81.54874,199213,6670,62,0.398426,0.078880407,1.148148148,1.625454555,16.25454555
20.71405,70.98224,345859,4300,5,0.691718,0.006361323,0.092592593,0.790671916,7.906719157
20.73081,81.20578,1344186,23580,62,2.688372,0.078880407,1.148148148,3.915400555,39.15400555
20.82318,71.03795,952985,20518,62,1.90597,0.078880407,1.148148148,3.132998555,31.32998555
20.84089,85.10192,54872,1420,3,0.109744,0.003816794,0.055555556,0.169116349,1.691163494
20.84852,86.33729,699177,22061,101,1.398354,0.128498728,1.87037037,3.397223098,33.97223098
20.93333,77.75,925248,27157,96,1.850496,0.122137405,1.777777778,3.750411182,37.50411182
20.94237,72.92467,625257,56658,29,1.250514,0.036895674,0.537037037,1.824446711,18.24446711
21.00292,75.56602,563840,141712,132,1.12768,0.167938931,2.444444444,3.740063376,37.40063376
21.03333,81.53333,1477257,10099,51,2.954514,0.064885496,0.944444444,3.963843941,39.63843941
21.10743,82.0948,387389,67040,70,0.774778,0.089058524,1.296296296,2.16013282,21.6013282
21.16817,79.64885,1296758,105641,178,2.593516,0.226463104,3.296296296,6.116275401,61.16275401
21.19147,81.27619,612694,11762,44,1.225388,0.055979644,0.814814815,2.096182459,20.96182459
21.19594,72.83023,1382440,944,9,2.76488,0.011450382,0.166666667,2.942997048,29.42997048
21.19594,72.83023,1493825,9478,46,2.98765,0.058524173,0.851851852,3.898026025,38.98026025
21.28777,71.7556,846715,65515,200,1.69343,0.254452926,3.703703704,5.65158663,56.5158663
21.33348,83.61905,1468727,42630,120,2.937454,0.152671756,2.222222222,5.312347978,53.12347978
21.46026,80.19205,574700,154200,85,1.1494,0.108142494,1.574074074,2.831616568,28.31616568
21.46527,83.97573,636918,89300,101,1.273836,0.128498728,1.87037037,3.272705098,32.72705098
21.49266,86.93348,1016221,31987,100,2.032442,0.127226463,1.851851852,4.011520315,40.11520315
21.51966,70.45981,1249367,900,5,2.498734,0.006361323,0.092592593,2.597687916,25.97687916
21.51966,70.45981,644132,1185,10,1.288264,0.012722646,0.185185185,1.486171831,14.86171831
21.53827,84.73337,1672485,35759,106,3.34497,0.134860051,1.962962963,5.442793014,54.42793014
21.64219,69.60929,1190488,29081,197,2.380976,0.250636132,3.648148148,6.27976028,62.7976028
21.65678,82.16062,673240,66424,64,1.34648,0.081424936,1.185185185,2.613090122,26.13090122
21.69482,72.9805,3002311,19903,160,6.004622,0.203562341,2.962962963,9.171147304,91.71147304
