Lattitude,Longitude,Total Doses,Sessions,Sites 
19.71464,77.14238,1093581,44636,168
31.10442,77.16662,1161839,24892,181
28.94485,77.21865,1388853,27077,61
28.63576,77.22445,1396548,23268,104
30.12796,77.28371,1231126,44360,88
29.4497,77.30959,1512462,13450,32
24.64691,77.3113,589836,25490,112
28.41124,77.31316,557089,35600,34
19.16023,77.31497,3684484,165125,346
28.14469,77.32546,350634,18407,42
11.11541,77.35456,600079,16180,41
16.20546,77.35567,2821963,261660,295
23.25469,77.40289,1246064,216050,119
28.66535,77.43915,2445401,23751,52
27.21731,77.49009,1891492,25252,69
16.74799,77.4954,699539,55250,44
17.90802,77.51524,2159395,935109,388
29.9679,77.54522,994356,26440,98
34.16504,77.58402,142327,1840,12
14.67784,77.60813,279778,5420,17
31.44943,77.63087,1373586,30280,50
25.42378,77.66223,486034,12650,68
27.5035,77.67215,857885,61747,111
8.72742,77.6838,1695286,18864,58
29.47091,77.70332,1475650,87380,172
28.98002,77.70636,1101881,13340,14
22.74747,77.72736,493315,16450,64
11.3428,77.72741,775025,21657,49
24.57578,77.73123,566447,16251,29
20.93333,77.75,925248,27157,96
28.72985,77.78068,620518,31890,72
23.33033,77.7811,676797,55670,189
23.52604,77.81092,525231,51810,58
28.40392,77.85773,1919897,118550,104
21.90056,77.90229,942471,33895,148
17.3381,77.90441,574933,1090,12
10.36896,77.98036,833595,7605,20
10.36896,77.98036,694900,22840,34
26.49892,77.99534,1164841,67601,187
27.18333,78.01667,1084372,55363,102
15.82887,78.03602,3721849,93300,234
27.59551,78.05201,1925703,204524,84
27.88145,78.07464,2485889,48390,78
10.95771,78.08095,1247017,46520,36
18.67154,78.0988,398082,334000,34
9.919,78.11953,1174995,4050,26
13.13768,78.12999,547186,135380,106
20.39324,78.13201,738949,83663,95
29.373,78.13636,844858,12681,20
11.65376,78.15538,401287,43850,43
11.65376,78.15538,609616,31700,43
12.1277,78.15794,1349465,134540,90
29.94791,78.16025,2106748,63170,124
11.22126,78.16524,888835,13140,23
26.22983,78.17337,991900,18610,74
12.51921,78.21382,398261,19340,12
18.04531,78.26078,489075,42530,17
19.09685,78.34407,272393,52000,21
27.15092,78.39781,1385174,99850,124
24.69007,78.41915,1771540,118103,116
30.72986,78.44342,1648529,70700,84
17.38405,78.45636,580060,509100,86
25.67312,78.45908,1001879,42400,193
28.90314,78.46984,1136637,41644,103
9.84701,78.48358,1578832,6101,13
19.67203,78.5359,487280,7910,14
28.58498,78.56959,1884050,97020,102
25.45887,78.57994,2312924,154962,97
20.73933,78.59784,6649487,164793,293
27.80882,78.64579,2506246,28331,100
10.8155,78.69651,548111,9055,25
28.83893,78.77684,1460701,31040,21
30.22243,78.78341,246112,17420,75
26.56671,78.78728,1284651,88493,232
10.38128,78.82141,186137,2846,7
10.38128,78.82141,455863,8500,25
24.74327,78.83061,881678,84400,184
9.37158,78.83077,578340,23020,26
9.37158,78.83077,497962,19600,49
18.10483,78.84858,802939,8560,26
11.23333,78.88333,375231,2620,5
18.79473,78.91661,4504695,80073,137
22.05697,78.93958,1291889,36295,152
11.73379,78.95925,1571346,8590,30
24.04488,78.96094,1466604,8248,26
30.28467,78.98354,457001,19263,70
26.77615,79.02133,829092,10726,32
27.22857,79.02882,510631,40810,104
12.22662,79.07461,6275909,154951,203
12.22662,79.07461,1158435,49970,67
11.13849,79.07556,422768,8700,48
21.14631,79.08491,12656802,346241,500
13.21055,79.0956,3228972,348180,121
28.03811,79.12668,2298818,63732,57
18.43915,79.12856,614891,58000,29
12.9184,79.13255,709427,7600,25
17.72602,79.15236,552363,0,0
17.05439,79.26707,350155,1100,4
26.1451,79.3366,788867,19300,22
18.61357,79.37442,803485,200,2
28.36678,79.43167,1597443,48411,95
23.83312,79.4419,1793770,52774,202
26.46517,79.50918,932624,35000,17
27.39134,79.5793,719928,22203,53
24.9177,79.58871,678282,14990,118
10.77269,79.6368,845918,14600,62
21.16817,79.64885,1296758,105641,178
29.59713,79.65911,2433985,27695,87
11.75617,79.76693,3344937,39899,118
29.83738,79.77161,554885,7150,26
28.63124,79.80436,1453386,44600,77
11.93381,79.82979,55283,394,3
10.91667,79.83333,1413744,19477,65
25.2905,79.87533,1320979,17668,29
27.05524,79.9188,1238885,12517,44
18.191,79.943,2994358,37573,74
23.16697,79.95006,4408639,75149,250
29.33501,80.07783,419807,4120,26
27.39491,80.13165,758315,13750,23
17.24767,80.14368,832279,77160,40
25.9553,80.14842,503280,16633,56
25.9553,80.14842,2645188,33936,50
24.72094,80.18772,749370,27850,50
21.8156,80.18845,687905,29104,111
21.46026,80.19205,574700,154200,85
29.58349,80.20947,617804,23311,51
13.08784,80.27847,1583866,44906,77
22.59879,80.37115,1372558,20316,125
