Lattitude,Longitude,Total Doses,Sessions,Sites ,Out of 100
22.05697,78.93958,1291889,36295,152,55.91977039
22.06566,81.68543,907491,41250,91,36.15943267
22.08005,82.15543,127177,12072,56,13.62637856
22.08005,82.15543,1041282,27696,52,31.11684724
22.11667,84.03333,493021,10294,50,19.75581157
22.16917,71.66671,609883,5240,14,14.96836964
22.29161,70.79322,1433454,2966,27,34.01259145
22.29161,70.79322,614711,8409,109,33.86617363
22.29941,73.20812,660752,9265,12,15.58993398
22.29941,73.20812,1582623,17271,105,52.43278231
22.3458,82.69633,316408,73902,28,11.86957928
22.45384,86.99497,1120718,21120,59,34.09092206
22.47292,70.06673,858749,3370,34,23.90384627
22.47292,70.06673,1026067,15600,39,28.23974543
22.49183,92.98143,73532,1158,4,2.262271326
22.56263,88.36304,279917,3271,9,7.379510483
22.59373,75.29774,1354010,23552,94,45.68353616
22.59879,80.37115,1372558,20316,125,52.18963894
22.61523,84.50208,566913,9971,35,18.2650341
22.71792,75.8333,1121245,37380,122,46.56965544
22.74747,77.72736,493315,16450,64,22.53240122
22.75218,72.68533,357125,11580,15,10.11111747
22.81731,70.8377,1943723,19408,132,64.99829376
22.89247,92.74218,69813,2900,4,2.187891326
22.94141,81.07975,1722323,51350,60,46.32092989
22.96585,76.05526,710191,17643,85,31.02598568
23.02579,72.58727,1715655,32166,97,53.51015966
23.02579,72.58727,1018549,47720,47,29.67264808
23.04268,84.54429,631984,16232,71,26.69113604
23.0738,87.31991,1343896,71789,123,51.22058327
23.07602,85.27818,445025,25711,103,29.28500664
23.10344,81.69083,442415,55568,188,46.05497232
23.18239,75.77643,1106604,68502,177,57.16176617
23.2,77.08333,1672633,107280,147,62.54511123
23.21347,82.86836,172430,4540,15,6.417217472
23.21667,72.68333,709101,5951,57,25.4627664
23.21667,72.68333,1140830,18401,39,30.53500543
23.23241,87.0716,962826,13444,32,25.58957061
23.23241,87.0716,1469879,44062,96,48.39673182
23.25469,77.40289,1246064,216050,119,48.47231195
23.29312,92.84679,66301,8000,4,2.117651326
23.29356,81.3619,1145188,56566,219,66.2455751
23.33033,75.04032,1343197,30030,128,52.19614243
23.33033,77.7811,676797,55670,189,50.94052015
23.34316,85.3094,621696,8082,31,18.56906278
23.36453,81.04374,2696290,313,8,55.50906265
23.42637,76.27775,961581,36821,47,28.53328808
23.43305,84.67992,328832,16800,53,17.06575507
23.52473,80.83716,2102307,70748,172,76.08628702
23.52604,77.81092,525231,51810,58,21.98327423
23.72894,92.71791,110152,11880,52,12.49424724
23.72894,92.71791,313633,13512,13,8.845461809
23.74423,84.49984,455888,7553,16,12.2842853
23.78707,85.95644,529655,87076,143,38.8939199
23.79759,86.42992,685660,13055,32,20.04625061
23.83312,79.4419,1793770,52774,202,75.85278196
23.92703,92.48968,152591,1080,4,3.843451326
23.963,86.80285,1021290,9773,33,26.95675844
23.99241,85.36162,485362,18924,55,20.59217073
24.04488,78.96094,1466604,8248,26,34.47768362
24.07184,75.06986,795907,50850,57,27.1988864
24.07964,91.59972,413744,40024,31,14.41002278
24.16002,83.80755,1853421,51411,134,63.58806942
24.1839,88.27171,1853834,37603,106,58.05491014
24.18622,86.30875,520217,19996,28,15.94575928
24.19973,82.67535,781575,30903,32,21.96455061
24.20645,84.87085,1076366,14135,38,29.0478176
24.22388,92.67869,118223,5800,5,3.353999157
24.26227,93.18873,22926,808,4,1.250151326
24.26778,87.24855,1334730,10112,30,32.63183494
24.32987,94.00379,161419,7200,9,5.009550483
24.33353,93.66999,37209,350,4,1.535811326
24.3855,94.1472,26673,474,4,1.325091326
24.4038,81.87954,1349716,68352,202,66.97170196
24.47639,74.86241,995415,28540,113,42.27188496
24.4982,93.98126,38147,4800,3,1.356663494
24.53256,81.29234,1322005,12002,54,37.1271229
24.57578,77.73123,566447,16251,29,17.06826711
24.57726,80.82719,2058854,74000,70,55.0306282
24.58584,73.71346,1137241,3440,9,24.52599048
24.59633,76.16499,1211019,7126,25,29.16807579
24.63881,93.99639,33136,1020,4,1.454351326
24.63925,87.84239,204399,7707,32,10.42103061
24.64691,77.3113,589836,25490,112,33.96239713
24.68394,92.56097,864589,12441,55,28.17671073
24.69007,78.41915,1771540,118103,116,58.38810845
24.72094,80.18772,749370,27850,50,24.88279157
24.74327,78.83061,881678,84400,184,54.048601
24.79686,85.00385,2856237,120230,152,87.20673039
24.80427,93.12148,432676,8511,31,14.78866278
24.827,87.2125,1131997,39551,65,35.50394905
24.83648,81.36448,984562,25989,75,34.53432736
24.85846,94.51549,118698,16080,9,4.155130483
24.86919,92.35543,292942,26249,70,19.7123882
24.8867,85.54364,1611839,35100,52,42.52798724
24.88838,72.84794,2562909,29280,127,76.3924746
24.9177,79.58871,678282,14990,118,36.91876412
24.92606,86.22531,1287676,9200,12,28.12841398
25.07145,73.8798,785925,180000,45,24.62435242
25.1,76.51667,1253643,75210,74,39.71803953
25.13994,85.84096,2099708,88550,37,49.31674977
25.1449,82.56534,2279956,91450,89,63.212917
25.18254,75.83907,1022413,45000,57,31.7290064
25.24425,87.63481,1824573,27620,78,51.92827086
25.24446,86.97183,1520263,40240,57,41.6860064
25.25803,83.26825,1932718,151984,102,58.84095881
25.2905,79.87533,1320979,17668,29,32.15890711
25.31668,83.01041,1570061,295471,199,70.78487847
25.34707,74.64081,1670888,45985,281,89.02986065
25.39526,82.5703,1307016,70099,131,52.06624593
25.41853,86.13389,1028174,14320,37,27.88606977
25.42378,77.66223,486034,12650,68,23.17841254
25.45887,78.57994,2312924,154962,97,65.45553966
25.5022,86.46708,1379503,73300,120,51.33899978
25.53852,87.57044,802738,100000,40,23.97107326
25.57548,83.98043,1363719,45050,58,38.75303423
25.58333,83.58526,2761004,57451,71,69.27153604
25.59408,85.13563,1032625,146710,146,49.5470434
25.66472,76.69616,787446,37800,78,31.18573086
25.66667,94.5,29363,600,5,1.576799157
25.67312,78.45908,1001879,42400,193,58.23379148
25.67467,94.11099,18262,800,4,1.156871326
25.74572,71.39211,912450,33975,89,35.862797
25.75356,82.68689,893935,22900,81,33.90923435
25.86222,85.77953,932819,37600,127,43.7906746
25.87498,86.59611,1553727,15106,23,35.62642012
25.89509,81.9424,1042634,15405,19,24.6129288
25.89509,81.9424,1570108,93295,262,83.25401185
25.91174,93.7217,50390,1050,3,1.601523494
25.94167,83.56111,1393091,24774,49,37.55930374
25.9553,80.14842,503280,16633,56,21.14843856
25.9553,80.14842,2645188,33936,50,62.79915157
25.96667,94.51667,53748,1306,6,2.262406989
26.00281,92.85605,510965,39000,70,24.0728482
26.02301,76.34408,905763,38663,154,48.59306605
26.04259,74.02373,1553139,794422,365,103.2991385
26.06832,83.18358,1300523,22875,53,36.49957507
26.09717,94.25817,54686,1800,2,1.489535663
26.10224,87.95534,791669,7700,13,18.40618181
26.11527,86.59509,1871207,35972,27,42.76765145
26.12259,85.39055,809898,21350,52,26.48916724
26.1451,79.3366,788867,19300,22,20.13131229
26.14934,87.51323,137855,35600,46,11.86086025
26.15216,85.89707,964127,12670,41,27.39676109
26.15696,81.80519,1166613,48142,48,32.83183591
26.16638,75.78824,1620387,6158,36,39.53242193
